n,model,metric,tail_var,r,p,draws
5000,one_over_exposure,gini_total_loss,sample_loss_cost,-0.34252262501045966,0.13932109919022076,20
5000,one_over_exposure,gini_total_loss,cap_q995,-0.4538996923857984,0.0444032106204007,20
5000,one_over_exposure,tweedie_deviance_1.5,n_above_q99,-0.546205351301469,0.012716665057199057,20
5000,one_over_exposure,tweedie_deviance_1.5,max_claim,-0.795335063373338,2.7704161275279885e-05,20
5000,one_over_exposure,tweedie_deviance_1.5,top1_share,-0.7097744360902255,0.0004558392343877837,20
5000,one_over_exposure,tweedie_deviance_1.5,sample_loss_cost,-0.993984962406015,9.577981441687848e-19,20
5000,one_over_exposure,tweedie_deviance_1.5,cap_q995,-0.7383458646616541,0.0002014294307883675,20
5000,one_over_exposure,calibration_ratio,n_above_q99,0.5382431741687945,0.014357660403410504,20
5000,one_over_exposure,calibration_ratio,max_claim,0.7998497373376143,2.3070770870338036e-05,20
5000,one_over_exposure,calibration_ratio,top1_share,0.7187969924812029,0.0003559194073895135,20
5000,one_over_exposure,calibration_ratio,sample_loss_cost,0.9954887218045112,7.230721163595862e-20,20
5000,one_over_exposure,calibration_ratio,cap_q995,0.7278195488721804,0.0002752962640906018,20
5000,one_over_exposure,gini_exposure_weighted,n_above_q99,,,20
5000,one_over_exposure,gini_exposure_weighted,max_claim,,,20
5000,one_over_exposure,gini_exposure_weighted,top1_share,,,20
5000,one_over_exposure,gini_exposure_weighted,sample_loss_cost,,,20
5000,one_over_exposure,gini_exposure_weighted,cap_q995,,,20
5000,tabicl,gini_total_loss,n_above_q99,-0.1910922511841874,0.419642295229362,20
5000,tabicl,gini_total_loss,max_claim,-0.03762228303563567,0.8748717932499118,20
5000,tabicl,gini_total_loss,top1_share,-0.08421052631578946,0.7241036435108112,20
5000,tabicl,gini_total_loss,sample_loss_cost,-0.13984962406015036,0.5564935505662203,20
5000,tabicl,gini_total_loss,cap_q995,-0.14436090225563908,0.5437007991990149,20
5000,tabicl,tweedie_deviance_1.5,n_above_q99,-0.2611594099517228,0.26606166195774006,20
5000,tabicl,tweedie_deviance_1.5,max_claim,0.021068478499955974,0.9297466854018648,20
5000,tabicl,tweedie_deviance_1.5,top1_share,0.11127819548872178,0.6404548402871416,20
5000,tabicl,tweedie_deviance_1.5,sample_loss_cost,-0.13834586466165413,0.5607873732874131,20
5000,tabicl,tweedie_deviance_1.5,cap_q995,-0.20300751879699244,0.39066623935419637,20
5000,tabicl,calibration_ratio,n_above_q99,0.8694697428880528,6.443396304620777e-07,20
5000,tabicl,calibration_ratio,max_claim,0.15425136044610624,0.5161320896288468,20
5000,tabicl,calibration_ratio,top1_share,0.030075187969924807,0.8998365956859304,20
5000,tabicl,calibration_ratio,sample_loss_cost,0.669172932330827,0.0012527491395978975,20
5000,tabicl,calibration_ratio,cap_q995,0.6932330827067669,0.000701450858560554,20
5000,tabicl,gini_exposure_weighted,n_above_q99,-0.13774566439526842,0.5625052623825529,20
5000,tabicl,gini_exposure_weighted,max_claim,0.11361929476761971,0.6333956697715749,20
5000,tabicl,gini_exposure_weighted,top1_share,0.10375939849624059,0.6633257542362446,20
5000,tabicl,gini_exposure_weighted,sample_loss_cost,-0.009022556390977442,0.9698849998123449,20
5000,tabicl,gini_exposure_weighted,cap_q995,-0.013533834586466165,0.9548397533571387,20
5000,xgb_hurdle,gini_total_loss,n_above_q99,-0.3855488102954242,0.09318403530489063,20
5000,xgb_hurdle,gini_total_loss,max_claim,-0.2227943850545637,0.3450916742815452,20
5000,xgb_hurdle,gini_total_loss,top1_share,-0.24030835895127892,0.30746881520260627,20
5000,xgb_hurdle,gini_total_loss,sample_loss_cost,-0.26924180685176735,0.2510054973361679,20
5000,xgb_hurdle,gini_total_loss,cap_q995,-0.27727887571301413,0.236583798197991,20
5000,xgb_hurdle,tweedie_deviance_1.5,n_above_q99,-0.8973373628524134,8.245446636797009e-08,20
5000,xgb_hurdle,tweedie_deviance_1.5,max_claim,-0.11888641439260872,0.6176254047722861,20
5000,xgb_hurdle,tweedie_deviance_1.5,top1_share,0.0015037593984962405,0.9949797739432688,20
5000,xgb_hurdle,tweedie_deviance_1.5,sample_loss_cost,-0.6360902255639098,0.002571107276428486,20
5000,xgb_hurdle,tweedie_deviance_1.5,cap_q995,-0.6781954887218045,0.0010140621699159448,20
5000,xgb_hurdle,calibration_ratio,n_above_q99,0.8973373628524134,8.245446636797009e-08,20
5000,xgb_hurdle,calibration_ratio,max_claim,0.11888641439260872,0.6176254047722861,20
5000,xgb_hurdle,calibration_ratio,top1_share,-0.0015037593984962405,0.9949797739432688,20
5000,xgb_hurdle,calibration_ratio,sample_loss_cost,0.6360902255639098,0.002571107276428486,20
5000,xgb_hurdle,calibration_ratio,cap_q995,0.6781954887218045,0.0010140621699159448,20
5000,xgb_hurdle,gini_exposure_weighted,n_above_q99,0.23172534646472193,0.3255842480340358,20
5000,xgb_hurdle,gini_exposure_weighted,max_claim,0.2588019321336181,0.2705579150377115,20
5000,xgb_hurdle,gini_exposure_weighted,top1_share,0.1392500690033995,0.5582037583475347,20
5000,xgb_hurdle,gini_exposure_weighted,sample_loss_cost,0.3381787390082559,0.1447371604873946,20
5000,xgb_hurdle,gini_exposure_weighted,cap_q995,0.37796447300922725,0.10036562194728642,20
5000,xgb_tweedie,gini_total_loss,n_above_q99,0.08997260159922156,0.7060042266310951,20
5000,xgb_tweedie,gini_total_loss,max_claim,-0.07524456607127133,0.7525461491256111,20
5000,xgb_tweedie,gini_total_loss,top1_share,-0.11578947368421053,0.6268789936728246,20
5000,xgb_tweedie,gini_total_loss,sample_loss_cost,-0.07518796992481201,0.7527267095067718,20
5000,xgb_tweedie,gini_total_loss,cap_q995,0.09473684210526315,0.6911525963694355,20
5000,xgb_tweedie,tweedie_deviance_1.5,n_above_q99,-0.355909317830549,0.1235295947307119,20
5000,xgb_tweedie,tweedie_deviance_1.5,max_claim,-0.5244546255167613,0.01759957827746521,20
5000,xgb_tweedie,tweedie_deviance_1.5,top1_share,-0.4526315789473684,0.045075688783048344,20
5000,xgb_tweedie,tweedie_deviance_1.5,sample_loss_cost,-0.5894736842105263,0.006233369103076914,20
5000,xgb_tweedie,tweedie_deviance_1.5,cap_q995,-0.4466165413533834,0.04837283310926692,20
5000,xgb_tweedie,calibration_ratio,n_above_q99,0.562129705566818,0.009888422008947803,20
5000,xgb_tweedie,calibration_ratio,max_claim,0.6072236481951597,0.00451989664469107,20
5000,xgb_tweedie,calibration_ratio,top1_share,0.5353383458646617,0.014997129643632595,20
5000,xgb_tweedie,calibration_ratio,sample_loss_cost,0.819548872180451,9.806689618126176e-06,20
5000,xgb_tweedie,calibration_ratio,cap_q995,0.5157894736842105,0.019919763459703674,20
5000,xgb_tweedie,gini_exposure_weighted,n_above_q99,-0.010350830272476817,0.9654539295223231,20
5000,xgb_tweedie,gini_exposure_weighted,max_claim,0.19413098046388005,0.4121452431993471,20
5000,xgb_tweedie,gini_exposure_weighted,top1_share,0.16992481203007515,0.47384906489411216,20
5000,xgb_tweedie,gini_exposure_weighted,sample_loss_cost,0.10075187969924812,0.6725564354857819,20
5000,xgb_tweedie,gini_exposure_weighted,cap_q995,0.14436090225563908,0.5437007991990149,20
10000,glm_hurdle,gini_total_loss,n_above_q99,-0.0022974783187196353,0.9923300444635047,20
10000,glm_hurdle,gini_total_loss,max_claim,0.00225733698213814,0.9924640495693607,20
10000,glm_hurdle,gini_total_loss,top1_share,-0.0015037593984962405,0.9949797739432688,20
10000,glm_hurdle,gini_total_loss,sample_loss_cost,-0.09022556390977443,0.705213030860713,20
10000,glm_hurdle,gini_total_loss,cap_q995,-0.10676691729323308,0.6541415450094845,20
10000,glm_hurdle,tweedie_deviance_1.5,n_above_q99,-0.03139887035583502,0.8954508158635269,20
10000,glm_hurdle,tweedie_deviance_1.5,max_claim,-0.3551543518564007,0.12438459182115423,20
10000,glm_hurdle,tweedie_deviance_1.5,top1_share,-0.35488721804511275,0.12468812756013885,20
10000,glm_hurdle,tweedie_deviance_1.5,sample_loss_cost,-0.38947368421052625,0.08961904769837135,20
10000,glm_hurdle,tweedie_deviance_1.5,cap_q995,-0.09172932330827067,0.7005157258604466,20
10000,glm_hurdle,calibration_ratio,n_above_q99,0.7474462796901215,0.00015193927733339556,20
10000,glm_hurdle,calibration_ratio,max_claim,0.6644095184093259,0.001396750854692911,20
