context,batch_size,offload_mode,use_amp,n_test,status,fit_s,predict_s,peak_vram_mib,error
5000,4,auto,auto,10000,ok,5.067105299996911,17.073638100002427,3760.6083984375,
10000,4,auto,auto,10000,ok,0.6809034000034444,24.20335250000062,5038.79541015625,
20000,4,auto,auto,10000,ok,0.8127206999997725,41.75460810000368,6528.70361328125,
30000,4,auto,auto,10000,ok,1.1617699999987963,63.229179199996,6716.9970703125,
50000,4,auto,auto,10000,ok,1.4800232000052347,117.48955099999876,7800.01123046875,
