cfg_n,cfg_model,cfg_seed,calibration_ratio,gini_exposure_weighted,gini_total_loss,tweedie_deviance_1.5,n_claims,n_above_q99,max_claim,top1_share,sample_loss_cost,cap_q995
5000,glm_hurdle,0,0.6101704558424305,0.3341398573675578,0.036544242924394954,100.1930196585566,194,4,50000.0,0.133980390737196,141.27655610771373,35411.35194999995
5000,glm_hurdle,1,0.5790864613407446,0.37893092820796914,0.20428146892357268,100.20220936792445,181,3,28650.0,0.08577879496092546,126.27238644084885,25364.999999999978
5000,glm_hurdle,2,0.7038057265146519,0.4509071027600804,0.3213374174513567,94.07083964710402,178,3,35831.0,0.09569940786876104,141.2064176735367,22886.105000000134
5000,glm_hurdle,3,0.45987542819325306,0.38912416220174006,0.11173460126504553,103.4368680044572,188,0,17420.91,0.0643039722534364,102.35291891070068,9400.79789999998
5000,glm_hurdle,4,0.45560464715261695,0.5234525551165135,0.43336328053671713,93.06431039810491,173,1,36204.0,0.12993468452867812,105.30003190912291,16448.939999999686
5000,glm_hurdle,5,0.5051913835438221,0.3570241303029664,0.08270926628133246,103.84749380815539,156,2,35831.0,0.12001834759009682,112.76188462156723,23400.007749999906
5000,glm_hurdle,6,0.4834201366494482,0.5095801072770902,0.37972166653783723,93.98678692718153,186,1,41614.72,0.13976784510521922,112.64953697183144,12354.86099999964
5000,glm_hurdle,7,0.4923623775580728,0.513394976496196,0.3391620398730121,94.57672038378297,187,1,125847.05,0.3261893639350105,145.86756788388428,18223.330099999213
5000,glm_hurdle,8,0.6692684937396702,0.4702752394252283,0.41256376050503507,92.67288961427359,163,1,182500.0,0.4486426470358672,153.73871263937673,44343.52449999961
5000,glm_hurdle,9,0.8082499165592419,0.4777978210388102,0.3480683108085316,91.23008231328606,204,3,109743.72,0.20521412837356043,201.78644246447698,50420.492849999544
5000,glm_hurdle,10,0.6455585557243283,0.48394894238973385,0.25290823021489084,93.04926719814306,189,3,70000.0,0.1699617639447679,155.74227724112393,36595.37040000009
5000,glm_hurdle,11,0.6459920070348244,0.5128421976630165,0.4047989780288406,89.10252350201927,191,3,40199.19,0.10470311380832693,145.19618972190884,37679.79000000003
5000,glm_hurdle,12,0.5015460083120676,0.4458605866936498,0.2889985716886265,97.57423506179846,172,1,22600.0,0.0766659979311036,111.4211061023311,15301.720000000087
5000,glm_hurdle,13,0.4956867770249105,0.44538808489206383,0.15810829731736675,98.81471617654915,200,1,18753.6,0.06361666737960192,111.3440175280645,8753.083849999954
5000,glm_hurdle,14,0.593622746064482,0.12283886382191045,-0.0049368932901776574,107.93276305602525,199,2,399213.66000000003,0.5589311160992233,269.8641819441804,24710.29229999656
5000,glm_hurdle,15,0.6313270443102973,0.3484129211059117,0.13726405343546322,105.53708651950731,191,3,86719.2,0.20998055095317567,156.20360141691475,38729.76000000058
5000,glm_hurdle,16,0.4800318021069779,0.30035475670742906,0.07688233923277088,107.48094452144063,201,1,96422.32,0.2686348997706963,135.39643951780408,8180.49
5000,glm_hurdle,17,0.4900481113396908,0.48202677124928417,0.26029429648312985,97.44520519993645,180,1,52954.670000000006,0.16679787782513997,120.32215184274598,20353.695349999627
5000,glm_hurdle,18,0.6111981246668132,0.41000111674877604,0.10855007267504102,96.51753246601638,189,3,35326.79,0.09870481535786428,135.41716802845133,21791.39160000003
5000,glm_hurdle,19,0.5460613156575976,0.3962888477611193,0.17134759104080077,102.31997678514588,202,2,86719.2,0.22896655341272354,142.80307453014754,19792.05985000004
5000,glm_tweedie,0,0.6754671077949057,-0.008690509378828315,-0.020197359214723765,112.61858906898134,194,4,50000.0,0.133980390737196,141.27655610771373,35411.35194999995
5000,glm_tweedie,1,0.5833553106691389,0.2832598434203579,0.15224284932833,105.26218062057984,181,3,28650.0,0.08577879496092546,126.27238644084885,25364.999999999978
5000,glm_tweedie,2,0.6653430401434182,0.3933639656418255,0.22616295614414228,97.90908366586271,178,3,35831.0,0.09569940786876104,141.2064176735367,22886.105000000134
5000,glm_tweedie,3,0.48202283061159634,0.22159695086742426,0.06582144853315586,110.45611259174707,188,0,17420.91,0.0643039722534364,102.35291891070068,9400.79789999998
5000,glm_tweedie,4,0.47684627720647643,0.4308236220593098,0.2922917902098534,99.25085729852152,173,1,36204.0,0.12993468452867812,105.30003190912291,16448.939999999686
5000,glm_tweedie,5,0.5198149666602436,0.2070175673582726,0.06583914999188667,110.08125565159901,156,2,35831.0,0.12001834759009682,112.76188462156723,23400.007749999906
5000,glm_tweedie,6,0.5290882111576535,0.42079484281567725,0.2939863823369733,99.20460059581397,186,1,41614.72,0.13976784510521922,112.64953697183144,12354.86099999964
5000,glm_tweedie,7,0.6473202801498774,0.3987174531674037,0.34655926193899866,98.25395903128516,187,1,125847.05,0.3261893639350105,145.86756788388428,18223.330099999213
5000,glm_tweedie,8,0.7141239156849979,0.42847709851757965,0.39919998402877677,97.72740888954011,163,1,182500.0,0.4486426470358672,153.73871263937673,44343.52449999961
5000,glm_tweedie,9,0.8912253599122333,0.3820093676158456,0.2617304455679784,97.36177718128809,204,3,109743.72,0.20521412837356043,201.78644246447698,50420.492849999544
5000,glm_tweedie,10,0.7049552162041406,0.3857448394201054,0.19245548094522713,97.08342973732947,189,3,70000.0,0.1699617639447679,155.74227724112393,36595.37040000009
5000,glm_tweedie,11,0.6549700989553074,0.43927781992732773,0.2754154462379136,93.68641856648597,191,3,40199.19,0.10470311380832693,145.19618972190884,37679.79000000003
5000,glm_tweedie,12,0.521549704586189,0.3499748795493387,0.17169167335074276,103.5489714240396,172,1,22600.0,0.0766659979311036,111.4211061023311,15301.720000000087
5000,glm_tweedie,13,0.5238616723211329,0.33677690668779314,0.10952036865619053,104.6727826950204,200,1,18753.6,0.06361666737960192,111.3440175280645,8753.083849999954
5000,glm_tweedie,14,1.01193548368568,-0.042754266750230974,-0.012344285062434235,124.38302312627224,199,2,399213.66000000003,0.5589311160992233,269.8641819441804,24710.29229999656
5000,glm_tweedie,15,0.6953016517597533,0.3467956171287747,0.17146804456274412,105.06892569436484,191,3,86719.2,0.20998055095317567,156.20360141691475,38729.76000000058
5000,glm_tweedie,16,0.6052448276702588,0.18271372292961108,0.07934387223868311,113.03085548747957,201,1,96422.32,0.2686348997706963,135.39643951780408,8180.49
5000,glm_tweedie,17,0.545641636250708,0.361209142475329,0.15813061523592042,105.14513970370965,180,1,52954.670000000006,0.16679787782513997,120.32215184274598,20353.695349999627
5000,glm_tweedie,18,0.6401552772007767,0.29101734807084556,0.09923925039501891,100.65105799882986,189,3,35326.79,0.09870481535786428,135.41716802845133,21791.39160000003
5000,glm_tweedie,19,0.6570892234087612,0.2710500192609505,0.15482407399282105,109.44688356550903,202,2,86719.2,0.22896655341272354,142.80307453014754,19792.05985000004
5000,intercept,0,0.6541685909097983,-2.1005419625907962e-13,-0.011359594713832077,103.83942584275538,194,4,50000.0,0.133980390737196,141.27655610771373,35411.35194999995
5000,intercept,1,0.5846931110484329,-2.1005419625907962e-13,-0.011359594713832077,105.44068648012568,181,3,28650.0,0.08577879496092546,126.27238644084885,25364.999999999978
5000,intercept,2,0.653843821097182,-2.1005419625907962e-13,-0.011359594713832077,103.84567025264663,178,3,35831.0,0.09569940786876104,141.2064176735367,22886.105000000134
5000,intercept,3,0.4739361333827284,-2.1005419625907962e-13,-0.011359594713832077,109.47165967491365,188,0,17420.91,0.0643039722534364,102.35291891070068,9400.79789999998
5000,intercept,4,0.4875824793196998,-2.1005419625907962e-13,-0.011359594713832077,108.84676197424109,173,1,36204.0,0.12993468452867812,105.30003190912291,16448.939999999686
5000,intercept,5,0.5221339279744539,-2.1005419625907962e-13,-0.011359594713832077,107.44317545976986,156,2,35831.0,0.12001834759009682,112.76188462156723,23400.007749999906
5000,intercept,6,0.5216137121244606,-2.1005419625907962e-13,-0.011359594713832077,107.46256636866038,186,1,41614.72,0.13976784510521922,112.64953697183144,12354.86099999964
5000,intercept,7,0.675426864661729,-2.1005419625907962e-13,-0.011359594713832077,103.45288059217506,187,1,125847.05,0.3261893639350105,145.86756788388428,18223.330099999213
5000,intercept,8,0.7118735039018711,-2.1005419625907962e-13,-0.011359594713832077,102.88414391377947,163,1,182500.0,0.4486426470358672,153.73871263937673,44343.52449999961
5000,intercept,9,0.9343542649145924,-2.1005419625907962e-13,-0.011359594713832077,101.25044013513516,204,3,109743.72,0.20521412837356043,201.78644246447698,50420.492849999544
5000,intercept,10,0.7211508324865404,-2.1005419625907962e-13,-0.011359594713832077,102.75668312956476,189,3,70000.0,0.1699617639447679,155.74227724112393,36595.37040000009
5000,intercept,11,0.6723181074957331,-2.1005419625907962e-13,-0.011359594713832077,103.50674869556735,191,3,40199.19,0.10470311380832693,145.19618972190884,37679.79000000003
5000,intercept,12,0.5159255716921695,-2.1005419625907962e-13,-0.011359594713832077,107.67789257642127,172,1,22600.0,0.0766659979311036,111.4211061023311,15301.720000000087
5000,intercept,13,0.5155686198709148,-2.1005419625907962e-13,-0.011359594713832077,107.69160919022512,200,1,18753.6,0.06361666737960192,111.3440175280645,8753.083849999954
5000,intercept,14,1.2495822130945267,-2.1005419625907962e-13,-0.011359594713832077,101.91298881234171,199,2,399213.66000000003,0.5589311160992233,269.8641819441804,24710.29229999656
5000,intercept,15,0.7232869532580547,-2.1005419625907962e-13,-0.011359594713832077,102.72826815513272,191,3,86719.2,0.20998055095317567,156.20360141691475,38729.76000000058
5000,intercept,16,0.6269412313960673,-2.1005419625907962e-13,-0.011359594713832077,104.4008888374304,201,1,96422.32,0.2686348997706963,135.39643951780408,8180.49
5000,intercept,17,0.5571410763027959,-2.1005419625907962e-13,-0.011359594713832077,106.24677330316987,180,1,52954.670000000006,0.16679787782513997,120.32215184274598,20353.695349999627
5000,intercept,18,0.6270372129302677,-2.1005419625907962e-13,-0.011359594713832077,104.3987693094213,189,3,35326.79,0.09870481535786428,135.41716802845133,21791.39160000003
5000,intercept,19,0.6612369993769472,-2.1005419625907962e-13,-0.011359594713832077,103.70609809381737,202,2,86719.2,0.22896655341272354,142.80307453014754,19792.05985000004
5000,one_over_exposure,0,0.6557700614971377,0.4676069945192445,-7.993605777301127e-15,94.51700942184695,194,4,50000.0,0.133980390737196,141.27655610771373,35411.35194999995
5000,one_over_exposure,1,0.5869045908355689,0.4676069945192445,-7.549516567451064e-15,95.99490438226184,181,3,28650.0,0.08577879496092546,126.27238644084885,25364.999999999978
5000,one_over_exposure,2,0.6579191075742007,0.4676069945192445,-8.215650382226158e-15,94.4786288236351,178,3,35831.0,0.09569940786876104,141.2064176735367,22886.105000000134
5000,one_over_exposure,3,0.476053603444937,0.4676069945192445,-7.105427357601002e-15,99.72986172718683,188,0,17420.91,0.0643039722534364,102.35291891070068,9400.79789999998
5000,one_over_exposure,4,0.4896145113681262,0.4676069945192445,-8.43769498715119e-15,99.15579409977717,173,1,36204.0,0.12993468452867812,105.30003190912291,16448.939999999686
5000,one_over_exposure,5,0.5246070312135341,0.4676069945192445,-7.549516567451064e-15,97.84152239341147,156,2,35831.0,0.12001834759009682,112.76188462156723,23400.007749999906
5000,one_over_exposure,6,0.5231937275321293,0.4676069945192445,-6.217248937900877e-15,97.89031777201919,186,1,41614.72,0.13976784510521922,112.64953697183144,12354.86099999964
5000,one_over_exposure,7,0.6779475021807929,0.4676069945192445,-7.105427357601002e-15,94.14065536954706,187,1,125847.05,0.3261893639350105,145.86756788388428,18223.330099999213
5000,one_over_exposure,8,0.714800974084233,0.4676069945192445,-7.771561172376096e-15,93.60466690080607,163,1,182500.0,0.4486426470358672,153.73871263937673,44343.52449999961
5000,one_over_exposure,9,0.9397130138485135,0.4676069945192445,-4.884981308350689e-15,92.05655027365805,204,3,109743.72,0.20521412837356043,201.78644246447698,50420.492849999544
5000,one_over_exposure,10,0.7237184284717747,0.4676069945192445,-9.103828801926284e-15,93.49027755011642,189,3,70000.0,0.1699617639447679,155.74227724112393,36595.37040000009
5000,one_over_exposure,11,0.674653108853932,0.4676069945192445,-7.771561172376096e-15,94.1938632793003,191,3,40199.19,0.10470311380832693,145.19618972190884,37679.79000000003
5000,one_over_exposure,12,0.5179984584137055,0.4676069945192445,-1.9984014443252818e-15,98.07263606938801,172,1,22600.0,0.0766659979311036,111.4211061023311,15301.720000000087
5000,one_over_exposure,13,0.5180081054778375,0.4676069945192445,-3.3306690738754696e-15,98.07229317926935,200,1,18753.6,0.06361666737960192,111.3440175280645,8753.083849999954
5000,one_over_exposure,14,1.2550757160518011,0.4676069945192445,-7.549516567451064e-15,92.63058315108249,199,2,399213.66000000003,0.5589311160992233,269.8641819441804,24710.29229999656
5000,one_over_exposure,15,0.7257031581614054,0.4676069945192445,-8.215650382226158e-15,93.46557957746815,191,3,86719.2,0.20998055095317567,156.20360141691475,38729.76000000058
